Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-03-06 12:24:52,1,R-183-JF,0.99,0.78
2025-03-06 12:25:05,2,N-894-JV,0.98,0.74
2025-03-06 12:25:26,3,L-656-XH,0.98,0.65
2025-03-06 12:26:18,4,H-644-LX,0.97,0.74
2025-03-06 12:26:42,5,K-884-RS,0.98,0.79
2025-03-06 12:26:45,6,66-HH-07,0.99,0.80
2025-03-06 12:27:51,1,R-183-JF,0.99,0.78
2025-03-06 12:28:04,2,N-894-JV,0.98,0.74
2025-03-06 12:28:12,3,L-656-XH,0.98,0.65
2025-03-06 12:28:27,4,H-644-LX,0.97,0.74
2025-03-06 12:28:34,5,K-884-RS,0.98,0.79
2025-03-06 12:28:37,6,66-HH-07,0.99,0.80
2025-03-06 12:28:48,7,66-HH-O7,0.98,0.82
2025-03-06 12:29:06,8,L-605-HZ,0.97,0.75
2025-03-06 12:29:22,9,R-183-JF,0.99,0.71
2025-03-06 12:29:22,10,R-183JF,0.97,0.70
2025-03-06 12:29:33,11,H-644-LX,0.98,0.63
2025-03-06 12:29:39,12,K-884-RS,0.97,0.75
2025-03-06 12:30:31,13,L-605-HZ,0.97,0.77
2025-03-06 12:30:48,14,H-644-LX,0.98,0.63
2025-03-06 12:30:54,15,K-884-RS,0.97,0.75
2025-03-06 12:31:47,16,L-605-HZ,0.97,0.77
2025-03-06 12:32:04,17,H-644-LX,0.98,0.63
2025-03-06 12:32:10,18,K-884-RS,0.97,0.75
2025-03-06 12:33:02,19,L-605-HZ,0.97,0.77
2025-03-06 12:33:19,20,H-644-LX,0.98,0.63
2025-03-06 12:33:25,21,K-884-RS,0.97,0.75
2025-03-06 12:34:17,22,L-605-HZ,0.97,0.77
2025-03-06 12:34:34,23,H-644-LX,0.98,0.63
2025-03-06 12:34:40,24,K-884-RS,0.97,0.75
2025-03-06 12:35:32,25,L-605-HZ,0.97,0.77
2025-03-06 12:35:49,26,H-644-LX,0.98,0.63
2025-03-06 12:35:56,27,K-884-RS,0.97,0.75
2025-03-06 12:36:48,28,L-605-HZ,0.97,0.77
2025-03-06 12:37:05,29,H-644-LX,0.98,0.63
2025-03-06 12:37:12,30,K-884-RS,0.97,0.75
2025-03-06 12:38:04,31,L-605-HZ,0.97,0.77
2025-03-06 12:38:21,32,H-644-LX,0.98,0.63
2025-03-06 12:38:28,33,K-884-RS,0.97,0.75
2025-03-06 12:39:21,34,L-605-HZ,0.97,0.77
2025-03-06 12:39:39,35,H-644-LX,0.98,0.63
2025-03-06 12:39:46,36,K-884-RS,0.97,0.75
2025-03-06 12:40:43,37,L-605-HZ,0.97,0.77
2025-03-06 12:41:01,38,H-644-LX,0.98,0.63
2025-03-06 12:41:08,39,K-884-RS,0.97,0.75
