Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-08-12 20:15:56,1,DL7CD5017,0.98,0.76
2025-08-12 20:16:04,2,DL2CAT4762,0.99,0.68
2025-08-12 20:16:09,3,HR26CQ6869,0.97,0.75
2025-08-12 20:16:20,4,DL3CBJ1384,0.97,0.73
2025-08-12 20:16:23,5,DL2CAT47,0.99,0.70
2025-08-12 20:16:24,6,DL2CAT476,1.00,0.76
2025-08-12 20:17:03,7,HR26C06869,0.99,0.79
2025-08-12 20:17:14,8,DL7CD5017,0.99,0.71
2025-08-12 20:17:20,9,DL2CAT4762,0.99,0.55
2025-08-12 20:17:26,10,HR26CQ6869,0.97,0.68
2025-08-12 21:00:45,1,DL7CD5017,0.99,0.71
2025-08-12 21:00:50,2,DL3CBJ1384,0.97,0.76
2025-08-12 21:00:53,3,DL2CAT4762,1.00,0.28
2025-08-12 21:00:57,4,HR26CQ6869,0.98,0.81
