Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-03-26 12:45:13,1,66-HH-O7,0.98,0.82
2025-03-26 12:45:32,2,L-605-HZ,0.97,0.75
2025-03-26 12:45:45,3,R-183-JF,0.99,0.78
2025-03-26 12:45:59,4,N-894-JV,0.98,0.74
2025-03-26 12:46:08,5,L-656-XH,0.98,0.65
2025-03-26 12:46:25,6,H-644-LX,0.97,0.74
2025-03-26 12:46:32,7,K-884-RS,0.98,0.79
2025-03-26 12:46:35,8,66-HH-07,0.99,0.80
2025-03-26 12:46:49,9,66-HH-O7,0.98,0.82
2025-03-26 12:47:08,10,L-605-HZ,0.97,0.75
2025-03-26 12:47:21,11,R-183-JF,0.99,0.78
2025-03-26 12:47:35,12,N-894-JV,0.98,0.74
2025-03-26 12:47:44,13,L-656-XH,0.98,0.65
2025-03-26 12:48:01,14,H-644-LX,0.97,0.74
2025-03-26 12:48:08,15,K-884-RS,0.98,0.79
2025-03-26 12:48:11,16,66-HH-07,0.99,0.80
2025-03-26 12:48:24,17,66-HH-O7,0.98,0.82
2025-03-26 12:48:43,18,L-605-HZ,0.97,0.75
2025-03-26 12:48:56,19,R-183-JF,0.99,0.78
2025-03-26 12:49:10,20,N-894-JV,0.98,0.74
2025-03-26 12:49:20,21,L-656-XH,0.98,0.65
2025-03-26 12:49:37,22,H-644-LX,0.97,0.74
2025-03-26 12:49:44,23,K-884-RS,0.98,0.79
2025-03-26 12:49:47,24,66-HH-07,0.99,0.80
2025-03-26 12:50:00,25,66-HH-O7,0.98,0.82
2025-03-26 12:50:19,26,L-605-HZ,0.97,0.75
2025-03-26 12:50:33,27,R-183-JF,0.99,0.78
2025-03-26 12:50:46,28,N-894-JV,0.98,0.74
2025-03-26 12:50:56,29,L-656-XH,0.98,0.65
2025-03-26 12:51:13,30,H-644-LX,0.97,0.74
2025-03-26 12:51:20,31,K-884-RS,0.98,0.79
2025-03-26 12:51:23,32,66-HH-07,0.99,0.80
2025-03-26 12:51:37,33,66-HH-O7,0.98,0.82
2025-03-26 12:51:56,34,L-605-HZ,0.97,0.75
2025-03-26 12:52:09,35,R-183-JF,0.99,0.78
2025-03-26 12:52:23,36,N-894-JV,0.98,0.74
2025-03-26 12:52:32,37,L-656-XH,0.98,0.65
2025-03-26 12:52:49,38,H-644-LX,0.97,0.74
2025-03-26 12:52:57,39,K-884-RS,0.98,0.79
2025-03-26 12:53:00,40,66-HH-07,0.99,0.80
2025-03-26 12:53:13,41,66-HH-O7,0.98,0.82
2025-03-26 12:53:32,42,L-605-HZ,0.97,0.75
