Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-02-25 10:23:08,1,R-183-JF,0.99,0.78
2025-02-25 10:23:20,2,N-894-JV,0.98,0.74
2025-02-25 10:23:29,3,L-656-XH,0.98,0.65
2025-02-25 10:23:45,4,H-644-LX,0.97,0.74
2025-02-25 10:23:52,5,K-884-RS,0.98,0.79
2025-02-25 10:23:55,6,66-HH-07,0.99,0.80
2025-02-25 10:24:06,7,66-HH-O7,0.98,0.82
2025-02-25 15:20:57,1,R-183-JF,0.99,0.78
2025-02-25 15:21:10,2,N-894-JV,0.98,0.74
2025-02-25 15:21:19,3,L-656-XH,0.98,0.65
2025-02-25 15:21:34,4,H-644-LX,0.97,0.74
2025-02-25 15:21:41,5,K-884-RS,0.98,0.79
2025-02-25 15:21:44,6,66-HH-07,0.99,0.80
2025-02-25 15:21:55,7,66-HH-O7,0.98,0.82
