Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-05-09 09:47:08,1,DL3CBJ1384,0.99,0.74
2025-05-09 09:47:11,2,DL2CAT4762,0.99,0.69
2025-05-09 09:47:17,3,HR26CQ6869,0.97,0.76
2025-05-09 09:48:14,4,DL3CBJ1384,0.99,0.74
2025-05-09 09:48:17,5,DL2CAT4762,0.99,0.69
2025-05-09 09:48:22,6,HR26CQ6869,0.97,0.76
2025-05-09 09:49:16,7,DL3CBJ1384,0.99,0.74
2025-05-09 09:49:19,8,DL2CAT4762,0.99,0.69
2025-05-09 09:49:25,9,HR26CQ6869,0.97,0.76
2025-05-09 09:50:26,10,DL3CBJ1384,0.99,0.74
2025-05-09 09:50:30,11,DL2CAT4762,0.99,0.69
2025-05-09 09:50:35,12,HR26CQ6869,0.97,0.76
2025-05-09 09:51:27,13,DL3CBJ1384,0.98,0.74
2025-05-09 09:51:30,14,DL2CAT4762,0.99,0.39
2025-05-09 09:51:35,15,HR26CQ6869,0.98,0.28
2025-05-09 09:52:29,16,DL3CBJ1384,0.99,0.74
2025-05-09 09:52:32,17,DL2CAT4762,0.99,0.69
2025-05-09 09:52:37,18,HR26CQ6869,0.97,0.76
2025-05-09 09:53:29,19,DL3CBJ1384,0.99,0.74
2025-05-09 09:53:32,20,DL2CAT4762,0.99,0.69
2025-05-09 09:53:38,21,HR26CQ6869,0.97,0.76
2025-05-09 09:54:30,22,DL3CBJ1384,0.99,0.74
2025-05-09 09:54:33,23,DL2CAT4762,0.99,0.69
2025-05-09 09:54:38,24,HR26CQ6869,0.97,0.76
2025-05-09 09:55:31,25,DL3CBJ1384,0.99,0.74
2025-05-09 09:55:34,26,DL2CAT4762,0.99,0.69
2025-05-09 09:55:39,27,HR26CQ6869,0.97,0.76
2025-05-09 09:56:32,28,DL3CBJ1384,0.99,0.74
2025-05-09 09:56:35,29,DL2CAT4762,0.99,0.69
2025-05-09 09:56:40,30,HR26CQ6869,0.97,0.76
2025-05-09 09:57:34,31,DL3CBJ1384,0.99,0.74
2025-05-09 09:57:36,32,DL2CAT4762,0.99,0.69
2025-05-09 09:57:42,33,HR26CQ6869,0.97,0.76
2025-05-09 09:58:36,34,DL3CBJ1384,0.99,0.74
2025-05-09 09:58:39,35,DL2CAT4762,0.99,0.69
2025-05-09 09:58:44,36,HR26CQ6869,0.97,0.76
2025-05-09 09:59:40,37,DL3CBJ1384,0.99,0.74
2025-05-09 09:59:43,38,DL2CAT4762,0.99,0.69
2025-05-09 09:59:48,39,HR26CQ6869,0.97,0.76
2025-05-09 10:00:46,40,DL3CBJ1384,0.99,0.74
2025-05-09 10:00:49,41,DL2CAT4762,0.99,0.69
2025-05-09 10:00:54,42,HR26CQ6869,0.97,0.76
2025-05-09 10:01:53,43,DL3CBJ1384,0.99,0.74
2025-05-09 10:01:56,44,DL2CAT4762,0.99,0.69
2025-05-09 10:02:02,45,HR26CQ6869,0.97,0.76
2025-05-09 10:03:01,46,DL3CBJ1384,0.99,0.74
