Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-03-18 14:01:07,1,R-183-JF,0.99,0.78
2025-03-18 14:01:20,2,N-894-JV,0.98,0.74
2025-03-18 14:01:28,3,L-656-XH,0.98,0.65
2025-03-18 14:01:44,4,H-644-LX,0.97,0.74
2025-03-18 14:01:51,5,K-884-RS,0.98,0.79
2025-03-18 14:01:54,6,66-HH-07,0.99,0.80
2025-03-18 14:02:09,7,66-HH-O7,0.98,0.82
2025-03-18 14:02:27,8,L-605-HZ,0.97,0.75
2025-03-18 14:02:40,9,R-183-JF,0.99,0.78
2025-03-18 14:02:52,10,N-894-JV,0.98,0.74
2025-03-18 14:03:01,11,L-656-XH,0.98,0.65
2025-03-18 14:03:17,12,H-644-LX,0.97,0.74
2025-03-18 14:03:24,13,K-884-RS,0.98,0.79
2025-03-18 14:03:27,14,66-HH-07,0.99,0.80
2025-03-18 14:03:38,15,66-HH-O7,0.98,0.82
2025-03-18 14:03:56,16,L-605-HZ,0.97,0.75
2025-03-18 14:04:10,17,R-183-JF,0.99,0.71
2025-03-18 14:04:10,18,R-183JF,0.97,0.70
2025-03-18 14:04:31,19,K-884-RS,0.97,0.79
2025-03-18 14:04:33,20,66-HH-07,0.97,0.80
