Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-02-13 20:55:04,1,R-183-JF,0.98,0.78
2025-02-13 20:55:16,2,N-894-JV,0.97,0.73
2025-02-13 20:55:23,3,L-656-XH,0.98,0.77
2025-02-13 20:55:27,4,DL7CD5017,0.97,0.77
2025-02-13 20:55:33,5,DL3CBJ1384,0.99,0.77
2025-02-13 20:55:37,6,DL2CAT4762,0.99,0.68
2025-02-13 20:55:43,7,HR26CQ6869,0.97,0.77
2025-02-13 20:56:55,8,HR26CQ6869,0.97,0.76
2025-02-13 20:57:13,9,DL3CBJ1384,0.99,0.74
2025-02-13 20:57:16,10,DL2CAT4762,0.99,0.69
