Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-04-16 13:46:38,1,DL3CBJ1384,0.99,0.74
2025-04-16 13:46:42,2,DL2CAT4762,0.99,0.69
2025-04-16 13:46:49,3,HR26CQ6869,0.97,0.76
2025-04-16 13:47:58,4,DL3CBJ1384,0.99,0.74
2025-04-16 13:48:01,5,DL2CAT4762,0.99,0.69
2025-04-16 13:48:08,6,HR26CQ6869,0.97,0.76
