Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-05-31 13:37:13,1,DL3CBJ1384,0.99,0.74
2025-05-31 13:37:16,2,DL2CAT4762,0.99,0.69
2025-05-31 13:37:21,3,HR26CQ6869,0.97,0.76
2025-05-31 13:38:16,4,DL2CAT4762,0.99,0.69
2025-05-31 13:38:22,5,HR26CQ6869,0.98,0.76
2025-05-31 13:38:32,6,DL3CBJ1384,0.99,0.74
2025-05-31 13:39:18,7,DL2CAT4762,0.99,0.69
2025-05-31 13:39:35,8,HR26CQ6869,0.97,0.76
2025-05-31 13:40:11,9,DL3CBJ1384,0.99,0.74
2025-05-31 13:40:21,10,DL2CAT4762,0.99,0.69
2025-05-31 13:40:39,11,HR26CQ6869,0.97,0.76
2025-05-31 13:41:15,12,DL3CBJ1384,0.99,0.74
2025-05-31 13:41:24,13,DL2CAT4762,0.99,0.69
2025-05-31 13:41:41,14,HR26CQ6869,0.97,0.76
2025-05-31 13:42:17,15,DL3CBJ1384,0.99,0.74
2025-05-31 13:42:25,16,DL2CAT4762,0.99,0.69
