Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-08-13 12:26:54,1,DL3CBJ1384,0.97,0.76
2025-08-13 12:26:57,2,DL2CAT4762,0.99,0.55
2025-08-13 12:27:00,3,HR26C06869,0.99,0.79
2025-08-13 12:27:02,4,HR26CQ6869,0.97,0.68
2025-08-13 12:27:09,5,DL7CD5017,0.99,0.71
2025-08-13 12:28:11,6,DL3CBJ1384,0.97,0.76
2025-08-13 12:28:13,7,DL2CAT4762,0.99,0.55
2025-08-13 12:28:16,8,HR26C06869,0.99,0.79
2025-08-13 12:28:18,9,HR26CQ6869,0.97,0.68
2025-08-13 12:28:25,10,DL7CD5017,0.99,0.71
2025-08-13 12:29:26,11,DL3CBJ1384,0.97,0.76
2025-08-13 12:29:28,12,DL2CAT4762,0.99,0.55
2025-08-13 12:29:32,13,HR26C06869,0.99,0.79
2025-08-13 12:29:37,14,HR26CQ6869,0.97,0.68
2025-08-13 12:30:10,15,DL7CD5017,0.99,0.71
2025-08-13 12:30:33,16,DL3CBJ1384,0.97,0.76
2025-08-13 12:30:35,17,DL2CAT4762,0.99,0.55
2025-08-13 12:30:39,18,HR26C06869,0.99,0.79
2025-08-13 12:30:40,19,HR26CQ6869,0.97,0.68
2025-08-13 12:31:26,20,DL7CD5017,0.99,0.71
2025-08-13 12:31:50,21,DL3CBJ1384,0.97,0.76
2025-08-13 12:31:53,22,DL2CAT4762,0.99,0.55
2025-08-13 12:31:56,23,HR26C06869,0.99,0.79
2025-08-13 12:31:58,24,HR26CQ6869,0.97,0.68
2025-08-13 12:33:32,25,DL7CD5017,0.99,0.71
2025-08-13 12:33:36,26,DL3CBJ1384,0.97,0.76
2025-08-13 12:33:39,27,DL2CAT4762,0.99,0.55
2025-08-13 12:33:43,28,HR26C06869,0.99,0.79
2025-08-13 12:33:44,29,HR26CQ6869,0.97,0.68
2025-08-13 12:34:50,30,DL7CD5017,0.99,0.71
2025-08-13 12:34:54,31,DL3CBJ1384,0.97,0.76
2025-08-13 12:34:57,32,DL2CAT4762,0.99,0.55
2025-08-13 12:35:00,33,HR26C06869,0.99,0.79
2025-08-13 12:35:02,34,HR26CQ6869,0.97,0.68
2025-08-13 12:36:14,35,DL7CD5017,0.99,0.71
2025-08-13 12:36:30,36,DL3CBJ1384,0.97,0.76
2025-08-13 12:36:42,37,DL2CAT4762,0.99,0.55
2025-08-13 12:37:00,38,HR26C06869,0.99,0.79
2025-08-13 12:53:52,39,HR26CQ6869,0.97,0.68
2025-08-13 13:21:21,40,HR26CQ6869,0.97,0.79
2025-08-13 13:21:44,41,DL7CD5017,0.99,0.71
